Game_ID,Device_ID,Date_ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Rating,Daily_Active_Users,Weekly_Active_Users,Monthly_Active_Users,Downloads,Device_Type,Year,Name,Genre,Age,Age_Group,Price_Category,Targated_Audience,
G051,DV002,DT013,6.16,2.04,2.69,0.29,0,2.658886752,18306,23594,39834,237911,PC,1992,Super Mario Land 2: 6 Golden Coins,Adventure,,15-30,Standard,Everyone,
G052,DV005,DT029,6.76,3.1,0.14,1.03,11.02,2.41303858,7179,12370,46935,72442,Mobile,2008,Grand Theft Auto IV,Action,34,31-45,Free,,
G053,DV005,DT018,4.02,3.87,2.54,0.52,10.95,2.422344807,6610,18199,11876,767641,Mobile,1997,Gran Turismo,Racing,,15-30,Premium,Matured(17+),
G054,DV003,DT032,4.89,2.99,2.13,0.78,10.79,1.691025597,5435,19940,49503,717968,Handheld,2011,Super Mario 3D Land,Platform,23,15-30,Free,Teen,
G055,DV002,DT031,2.96,4.88,0.81,2.12,10.77,3.251136899,17799,18243,22461,182506,PC,2010,Gran Turismo 5,Racing,22,15-30,Standard,Everyone,
G056,DV005,DT030,4.99,3.69,0.38,1.63,10.69,4.904760079,15195,13958,51449,332051,Mobile,2009,Call of Duty: Modern Warfare 2,Shooter,15,15-30,Budget,Not Rated,
G057,DV003,DT029,4.76,3.76,0.44,1.62,10.57,2.455652951,8060,7990,37926,270110,Handheld,2008,Grand Theft Auto IV,Action,44,31-45,Standard,Everyone,
G058,DV006,DT014,5.99,2.15,2.12,0.29,0,3.930098262,6807,21259,20777,518536,UNKNOWN,1993,Super Mario All-Stars,Platform,18,15-30,Standard,,
G059,DV002,DT025,4.34,2.65,3.15,0.35,10.49,4.98077773,10266,22134,57827,876451,PC,2004,Pokemon FireRed/Pokemon LeafGreen,,41,31-45,Standard,Everyone,
G060,DV001,DT025,0,3.11,1.25,0.98,10.42,4.764378319,6688,29640,15945,886171,Console,2004,Super Mario 64,Platform,30,15-30,Standard,Teen,
G061,DV002,DT032,6.05,3.15,0,1.07,10.26,1.399005132,17014,10682,22147,73570,PC,2011,Just Dance 3,,15,15-30,Standard,,
G062,DV003,DT034,6.72,2.63,0.04,0.82,10.21,4.383357777,12539,25171,13903,735541,Handheld,2013,Call of Duty: Ghosts,Shooter,43,31-45,Budget,Teen,
G063,DV003,DT031,7.03,1.98,0.08,0.78,9.88,3.123497803,19540,8295,49312,483352,Handheld,2010,Halo: Reach,Shooter,22,15-30,Standard,Matured(17+),
G064,DV003,DT017,5.55,1.94,2.23,0.15,9.87,4.190430063,7143,10644,34177,528670,Handheld,1996,Mario Kart 64,Racing,,15-30,Budget,,
G065,DV004,DT033,3.66,3.07,2.47,0.63,9.82,4.853474458,10066,10958,51822,84164,,2012,New Super Mario Bros. 2,Platform,46,46-60,Standard,Teen,
G066,DV002,DT033,6.63,2.36,0.04,0.73,9.76,4.310360689,12479,11192,28325,864445,PC,2012,Halo 4,Shooter,30,15-30,Premium,,
G067,DV003,DT018,3.01,2.47,3.28,0.96,9.72,2.783817076,17903,28510,44226,718447,Handheld,1997,Final Fantasy VII,Role-Playing,27,15-30, ,Everyone,
G068,DV002,DT034,4.09,3.73,0.38,1.38,9.59,2.692112497,11135,23077,41970,819455,PC,2013,Call of Duty: Ghosts,Shooter,17,15-30,Budget,,
G069,DV005,DT031,5.84,2.89,0.01,0.78,9.52,3.992971914,14896,15879,51702,557424,Mobile,2010,Just Dance 2,Misc,45,31-45,Free,Matured(17+),
G070,DV005,DT020,3.88,3.42,1.69,0.5,9.49,1.737067571,10874,17996,23322,230346,Mobile,1999,Gran Turismo 2,Racing,20,15-30,Standard,Matured(17+),
G071,DV002,DT028,5.91,2.38,0.13,0.9,9.32,1.984146482,11696,11893,21355,786303,PC,2007,Call of Duty 4: Modern Warfare,Shooter,33,31-45,Standard,Not Rated,
G072,DV001,DT015,4.36,0,3,0.23,9.3,4.736333869,8615,23245,53057,624733,Console,1994,Donkey Kong Country,Platform,50,46-60,Budget,Teen,
G073,DV002,DT034,5.58,2.83,0.02,0.77,9.2,3.04655568,11551,21987,15343,718293,PC,2013,Minecraft,Misc,21,15-30,Standard,Everyone,
G074,DV003,DT033,2.01,2.32,4.36,0.41,9.09,4.677745491,13861,7801,56641,874936,Handheld,2012,Animal Crossing: New Leaf,Simulation,25,15-30,Premium,Not Rated,
G075,DV002,DT028,4.46,1.88,1.98,0.7,9.02,4.381731649,5489,29436,28306,260952,PC,2007,Mario Party DS,Misc,0,15-30,Standard,Matured(17+),
G076,DV002,DT032,5.03,2.86,0.1,0.85,8.84,3.419266651,18816,28715,39013,633237,PC,2011,The Elder Scrolls V: Skyrim,Role-Playing,0,15-30,Standard,Everyone,
G077,DV003,DT013,3.54,1.24,3.81,0.18,8.76,1.267583376,6823,15762,26264,316027,Handheld,1992,Super Mario Kart,Racing,39,31-45,Free,Not Rated,
G078,DV001,DT036,1.11,6.06,0.06,1.26,8.49,3.258926455,2032,8240,12674,200375,Console,2015,FIFA 16,Sports,49,46-60,Standard,Not Rated,
G079,DV005,DT031,1.79,3.53,2.49,0.68,8.49,3.194315729,13522,9688,47057,45483,Mobile,2010,Wii Party,Misc,16,15-30, ,Everyone,
G080,DV005,DT025,6.82,1.53,0.05,0.08,8.49,4.844574672,19125,28600,29722,657787,Mobile,2004,Halo 2,Shooter,16,15-30,Premium,Matured(17+),
G081,DV003,DT028,3.81,2.3,1.58,0.73,8.42,3.016240157,3816,29379,32103,280881,Handheld,2007,Mario Party 8,,28,15-30,Standard,Not Rated,
G082,DV001,DT033,2.91,1.86,3.14,0.43,8.33,2.153756708,5921,29059,51430,421382,Console,2012,Pokemon Black 2/Pokemon White 2,Role-Playing,29,15-30,Standard,Teen,
G083,DV002,DT033,1.06,5.05,0.13,2.01,8.24,2.250980477,17645,19353,41056,36930,PC,2012,FIFA Soccer 13,Action,19,15-30,Free,,
G084,DV006,DT030,0.98,6.42,0,0.71,0,2.77335624,4039,8898,31277,923352,UNKNOWN,2009,The Sims 3,Simulation,,15-30, ,Teen,
G085,DV003,DT018,5.8,2.01,0.13,0.15,8.09,2.379383865,6760,16888,51848,939799,Handheld,1997,GoldenEye 007,Shooter,,31-45,Standard,,
G086,DV003,DT028,2.58,3.9,0.66,0.91,8.06,1.664684522,14679,14829,47975,104226,Handheld,2007,Mario & Sonic at the Olympic Games,Sports,,46-60,Free,Not Rated,
G087,DV005,DT022,2.91,2.07,2.73,0.33,8.05,3.917346381,12372,12677,50389,770726,Mobile,2001,Final Fantasy X,Role-Playing,39,31-45,Premium,Matured(17+),
G088,DV004,DT020,2.28,1.72,3.63,0.23,0,2.961775799,10187,22056,27055,215957,,1999,Final Fantasy VIII,Role-Playing,36,31-45,Standard,Not Rated,
G089,DV003,DT029,2.82,0,2.69,0.55,7.84,2.704956831,19590,12387,33999,780215,Handheld,2008,Pokémon Platinum Version,Role-Playing,22,15-30,Premium,Everyone,
G090,DV002,DT003,7.28,0.45,0,0.08,7.81,1.440873884,19657,28416,59478,332007,PC,1982,Pac-Man,,16,15-30, ,Not Rated,
G091,DV001,DT026,2.9,2.83,0.24,1.75,7.72,1.886222957,18405,19617,11010,247055,Console,2005,Grand Theft Auto: Liberty City Stories,Action,35,31-45,Budget,Everyone,
G092,DV005,DT031,3.66,2.42,0.98,0.64,7.69,3.77104688,19504,12947,20382,925313,Mobile,2010,Super Mario Galaxy 2,Platform,16,15-30,Premium,Teen,
G093,DV002,DT036,2.93,3.29,0.22,1.23,7.67,2.991781053,13657,5434,36150,866501,PC,2015,Star Wars Battlefront (2015),,,15-30, ,Not Rated,
G094,DV003,DT035,2.8,3.3,0.14,1.37,7.6,2.488860375,12386,11993,13626,841430,Handheld,2014,Call of Duty: Advanced Warfare,Shooter,22,15-30,Budget,Everyone,
G095,DV001,DT019,4.1,1.89,1.45,0.16,7.6,4.212565663,18827,16780,34937,329721,Console,1998,The Legend of Zelda: Ocarina of Time,Action,55,46-60,Free,Everyone,
G096,DV005,DT018,3.78,2.17,1.31,0.31,7.58,2.561460797,2587,29738,48698,319749,Mobile,1997,Crash Bandicoot 2: Cortex Strikes Back,Platform,50,46-60,Premium,Matured(17+),
G097,DV003,DT009,5.39,1.18,0.7,0.19,7.46,3.282370175,18196,25088,45039,506276,Handheld,1988,Super Mario Bros. 2,Platform,43,31-45,Budget,Teen,
G098,DV002,DT035,3.24,1.35,2.42,0.43,7.45,1.600930282,3631,24959,26822,585985,PC,2014,Super Smash Bros. for Wii U and 3DS,Fighting,42,31-45,Premium,Matured(17+),
G099,DV005,DT029,4.79,1.9,0,0.69,7.37,2.693783255,7102,18606,31697,995923,Mobile,2008,Call of Duty: World at War,Shooter,25,15-30,Premium,Matured(17+),
G100,DV005,DT032,4.46,2.13,0.06,0.69,7.34,4.289723187,1593,28416,52635,992879,Mobile,2011,Battlefield 3,Shooter,23,15-30,Premium,Matured(17+),
G101,DV005,DT027,3.83,2.19,0.6,0.7,7.31,2.876288873,6715,5924,49546,59811,Mobile,2006,The Legend of Zelda: Twilight Princess,Action,,15-30,Budget,Matured(17+),
G102,DV003,DT036,4.52,2.09,0.01,0.67,7.3,2.076916225,10012,13447,17175,326206,Handheld,2015,Call of Duty: Black Ops 3,Shooter,45,31-45,Standard,Matured(17+),
G103,DV001,DT030,3.51,3.03,0,0.73,7.27,4.738999781,7813,23103,45981,123973,Console,2009,Just Dance,Misc,41,31-45, ,Not Rated,
G104,DV005,DT032,2.85,2.93,0.35,1.1,7.23,2.230156098,15203,18475,46847,991079,Mobile,2011,Battlefield 3,,23,15-30,Budget,,
G105,DV005,DT024,3.27,2.83,0.08,1.02,7.2,3.141217853,5943,6967,42774,687992,Mobile,2003,Need for Speed Underground,Racing,46,46-60,Budget,Matured(17+),
G106,DV004,DT019,3.27,2.22,1.4,0.29,7.16,3.141286383,13780,18306,22280,716943,,1998,Tekken 3,Fighting,38,31-45,Budget,Everyone,
G107,DV005,DT019,0,1.75,1.42,0.28,7.13,3.004720316,9160,7170,26553,903325,Mobile,1998,Crash Bandicoot 3: Warped,,17,15-30,Budget,Not Rated,
G108,DV002,DT022,4.41,1.04,1.39,0.22,7.07,2.755800149,18518,24687,29864,15152,PC,2001,Super Smash Bros. Melee,Fighting,45,31-45,Budget,Teen,
G109,DV005,DT035,3.13,2.07,1.27,0.49,6.96,1.489818764,1052,13949,14274,943782,Mobile,2014,Mario Kart 8,Racing,57,46-60,Budget,Teen,
G110,DV005,DT036,2.47,3.15,0.24,1.1,6.96,4.902804433,18150,20580,12886,54037,Mobile,2015,Fallout 4,Role-Playing,40,31-45,Budget,,
G111,DV005,DT024,4.12,1.77,0.87,0.19,6.95,2.54780834,15757,23246,50617,569329,Mobile,2003,Mario Kart: Double Dash!!,Racing,,15-30,Free,Matured(17+),
G112,DV001,DT033,4.14,2.21,0,0.56,6.91,2.118049679,7884,10677,14916,867656,Console,2012,Just Dance 4,Misc,40,31-45,Budget,Teen,
G113,DV005,DT034,0.78,4.32,0.07,1.73,6.9,3.870603887,15327,8676,51515,888323,Mobile,2013,FIFA 14,Sports,31,31-45,Standard,Not Rated,
G114,DV003,DT025,2.71,3.02,0.08,1.09,6.9,2.335515492,10234,23122,23888,37275,Handheld,2004,Need for Speed Underground 2,Racing,22,15-30, ,Matured(17+),
G115,DV003,DT023,2.93,2.75,0.17,0.99,0,2.137900937,10130,18584,54864,545640,Handheld,2002,Medal of Honor: Frontline,Shooter,21,15-30,Standard,Everyone,
G116,DV001,DT032,2.77,2.8,0.19,1.06,6.83,4.061605523,12930,11594,13367,766400,Console,2011,Uncharted 3: Drake's Deception,Action,52,46-60,Budget,Not Rated,
G117,DV001,DT017,3.23,2.35,0.94,0.3,6.82,4.704086101,6828,12466,55276,633567,Console,1996,Crash Bandicoot,Platform,58,46-60,Premium,,
G118,DV004,DT031,3.5,2.64,0,0.67,0,1.103276938,2279,6497,46615,253137,,2010,Zumba Fitness,Sports,26,15-30,Budget,Teen,
G119,DV001,DT029,4.15,1.92,0.06,0.64,6.76,3.393969152,14317,28508,11734,823481,Console,2008,Gears of War 2,,16,15-30,Budget,Not Rated,
G120,DV001,DT030,3.27,2.25,0.21,1,6.73,1.253365752,3363,20790,12881,386991,Console,2009,Uncharted 2: Among Thieves,Action,29,15-30,Budget,Everyone,
G121,DV005,DT028,3.1,2.3,0.28,1.04,6.72,2.699059799,6981,8839,39668,631298,Mobile,2007,Call of Duty 4: Modern Warfare,Shooter,0,15-30,Premium,Teen,
G122,DV005,DT032,0.84,4.32,0.11,1.42,6.69,2.471703489,7536,24105,24658,37843,Mobile,2011,FIFA 12,Sports,56,46-60,Standard,Matured(17+),
G123,DV002,DT026,1.67,2.78,1.6,0.62,6.67,3.308371306,12068,21799,15826,84100,PC,2005,Big Brain Academy,Misc,19,15-30,Premium,Matured(17+),
G124,DV003,DT031,2.79,2.61,0.17,1.03,6.6,2.03298276,11296,7135,19091,54357,Handheld,2010,Red Dead Redemption,Action,21,15-30,Standard,Not Rated,
G125,DV005,DT035,0,0,0.05,1.47,6.59,3.902972589,1263,23855,44457,68172,Mobile,2014,FIFA 15,Sports,,15-30,Standard,Everyone,
G126,DV006,DT031,3.25,1.84,1.03,0.47,6.59,3.711969704,2703,17591,37170,78361,UNKNOWN,2010,Donkey Kong Country Returns,,17,15-30,Standard,,
G127,DV003,DT032,2.55,2.71,0.25,1.05,6.56,1.922500325,13912,5558,31029,918474,Handheld,2011,The Elder Scrolls V: Skyrim,Role-Playing,30,15-30,Premium,Matured(17+),
G128,DV001,DT007,3.74,0.93,1.69,0.14,6.51,3.442168402,9479,24340,22374,502337,Console,1986,The Legend of Zelda,Action,44,31-45,Budget,Everyone,
G129,DV001,DT033,2.64,2.56,0.16,1.14,6.5,4.197627285,13734,15451,41283,706587,Console,2012,Assassin's Creed III,Action,42,31-45,Budget,Teen,
G130,DV002,DT022,4.98,1.3,0.08,0.07,0,2.629263226,9257,14429,39703,49640,PC,2001,Halo: Combat Evolved,Shooter,20,15-30,Premium,,
G131,DV006,DT025,2.57,1.58,2.06,0.21,6.41,1.157491889,19358,8154,11554,533544,UNKNOWN,2004,Pokémon Emerald Version,Role-Playing,35,31-45,Standard,Teen,
G132,DV005,DT023,3.64,1.2,1.49,0.07,6.4,3.836913683,14346,14328,39571,567793,Mobile,2002,Kingdom Hearts,Role-Playing,35,31-45,Budget,Not Rated,
G133,DV003,DT021,2.55,1.56,1.29,0.99,6.39,1.484589363,12867,23230,55190,209754,Handheld,2000,Pokémon Crystal Version,Role-Playing,26,15-30,Budget,,
G134,DV002,DT030,4.34,1.35,0.06,0.61,6.36,2.382740776,5026,21537,47547,354207,PC,2009,Halo 3: ODST,Shooter,,15-30,Budget,Everyone,
G135,DV005,DT031,3.7,1.97,0.09,0.57,6.34,4.99599894,16464,6980,34537,507932,Mobile,2010,Red Dead Redemption,Action,0,15-30,Budget,Teen,
G136,DV003,DT023,4.01,1.26,0.87,0.17,6.31,1.667514769,8456,8766,59500,546958,Handheld,2002,Super Mario Sunshine,Platform,,31-45, ,Everyone,
G137,DV005,DT013,0,0.83,2.87,0.12,6.3,1.655255693,12132,24551,59177,127472,Mobile,1992,Street Fighter II: The World Warrior,Fighting,23,15-30,Premium,Teen,
G138,DV001,DT025,0.07,6.21,0,0,6.28,4.148115939,18478,15587,21643,164924,Console,2004,World of Warcraft,Role-Playing,,46-60,Budget,Teen,
G139,DV001,DT020,3.11,2.8,0.02,0.33,6.27,3.489925014,19791,9695,30658,225339,Console,1999,Driver,Action,33,31-45,Budget,Matured(17+),
G140,DV003,DT031,3.92,1.78,0.03,0.51,6.24,4.472409911,2082,27259,54581,976195,Handheld,2010,Kinect Sports,Sports,0,15-30,Standard,Everyone,
G141,DV005,DT032,4.05,1.62,0.07,0.49,6.24,1.422206499,10374,7968,51050,716777,Mobile,2011,Gears of War 3,Shooter,,15-30,Budget,Everyone,
G142,DV003,DT027,3.54,1.9,0.07,0.6,6.11,4.449862048,11741,5340,37269,889363,Handheld,2006,Gears of War,Shooter,20,15-30,Standard,Everyone,
G143,DV001,DT022,2.45,2.01,0.87,0.72,6.05,4.018784812,3433,15011,29189,465611,Console,2001,Metal Gear Solid 2: Sons of Liberty,Action,40,31-45,Premium,Teen,
G144,DV006,DT013,4.47,1.2,0.16,0.19,0,1.821029306,10046,28573,39327,439099,UNKNOWN,1992,Sonic the Hedgehog 2,Platform,29,15-30,Budget,Everyone,
G145,DV003,DT029,2.63,1.74,0.83,0.83,6.03,2.729039436,2916,29552,26542,882773,Handheld,2008,Metal Gear Solid 4: Guns of the Patriots,Action,44,31-45,Budget,Everyone,
G146,DV001,DT019,3.18,0,0.78,0.24,6.03,2.072886984,11112,26940,45672,337260,Console,1998,Metal Gear Solid,Action,40,31-45,Standard,Not Rated,
G147,DV002,DT034,2.41,2.28,0.28,1.01,5.99,3.950001501,2490,15104,20516,617691,PC,2013,The Last of Us,Action,34,31-45,Standard,Everyone,
G148,DV005,DT027,1.88,0,2.33,1.74,5.95,4.162045395,17685,9937,40152,988643,Mobile,2006,Final Fantasy XII,Role-Playing,21,15-30,Premium,Everyone,
G149,DV001,DT029,2.8,2.05,0.17,0.9,5.92,2.246590711,3379,11966,58936,632636,Console,2008,LittleBigPlanet,Platform,21,15-30,Budget,Matured(17+),
G150,DV001,DT030,0.66,0.69,4.35,0.15,5.84,4.113182526,8530,7948,10058,407378,Console,2009,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,21,15-30,Budget,Not Rated,
G151,DV003,DT028,3.66,0,0,0.53,5.83,3.096241542,11452,9818,48336,537701,Handheld,2007,LEGO Star Wars: The Complete Saga,Action,23,15-30,Standard,Teen,
G152,DV003,DT019,1.88,1.47,2.02,0.45,5.82,2.310775343,10722,17580,23015,214723,Handheld,1998,Resident Evil 2,Action,38,31-45,Standard,Everyone,
G153,DV001,DT017,2.26,1.89,1.36,0.23,5.74,3.840370302,11848,24996,45119,655033,Console,1996,Tekken 2,Fighting,33,31-45,Standard,Everyone,
G154,DV002,DT027,3.13,1.94,0.07,0.58,5.72,2.552246776,1592,13971,40205,292842,PC,2006,Cooking Mama,Simulation,19,15-30,Budget,Teen,
G155,DV002,DT035,2.49,2.05,0.16,0.96,5.65,3.263786758,2118,22885,18049,537142,PC,2014,Destiny,Shooter,,15-30,Standard,Teen,
G156,DV002,DT009,2.97,0.69,1.81,0.11,5.58,2.179989945,5147,19224,18063,250758,PC,1988,Tetris,Puzzle,,15-30,Free,,
G157,DV005,DT030,2.54,1.95,0.21,0.87,5.57,2.191241373,3193,13367,34306,703408,Mobile,2009,Assassin's Creed II,Action,39,31-45,Standard,Not Rated,
